Country_Code,Country,Continent,Population_2023,Population_1970,Area_km2
IND,India,Asia,1428627663,557501301,3287590
CHN,China,Asia,1425671352,822534450,9706961
USA,United States,North America,339996563,200328340,9372610
IDN,Indonesia,Asia,277534122,115228394,1904569
PAK,Pakistan,Asia,240485658,59290872,881912
NGA,Nigeria,Africa,223804632,55569264,923768
BRA,Brazil,South America,216422446,96369875,8515767
BGD,Bangladesh,Asia,172954319,67541860,147570
RUS,Russia,Europe,144444359,130093010,17098242
MEX,Mexico,North America,128455567,50289306,1964375
ETH,Ethiopia,Africa,126527060,28308246,1104300
JPN,Japan,Asia,123294513,105416839,377930
PHL,Philippines,Asia,117337368,37435586,342353
EGY,Egypt,Africa,112716598,34781986,1002450
COD,DR Congo,Africa,102262808,20151733,2344858
VNM,Vietnam,Asia,98858950,41928849,331212
IRN,Iran,Asia,89172767,28449705,1648195
TUR,Turkey,Asia,85816199,35540990,783562
DEU,Germany,Europe,83294633,78294583,357114
THA,Thailand,Asia,71801279,35791728,513120
GBR,United Kingdom,Europe,67736802,55650166,242900
TZA,Tanzania,Africa,67438106,13618192,945087
FRA,France,Europe,64756584,50523586,551695
ZAF,South Africa,Africa,60414495,22368306,1221037
ITA,Italy,Europe,58870762,53324036,301336
KEN,Kenya,Africa,55100586,11473087,580367
MMR,Myanmar,Asia,54577997,27284112,676578
COL,Colombia,South America,52085168,20905254,1141748
KOR,South Korea,Asia,51784059,32601143,100210
UGA,Uganda,Africa,48582334,10317212,241550
SDN,Sudan,Africa,48109006,11305206,1886068
ESP,Spain,Europe,47519628,33792617,505992
ARG,Argentina,South America,45773884,23842803,2780400
DZA,Algeria,Africa,45606480,13795915,2381741
IRQ,Iraq,Asia,45504560,9811347,438317
AFG,Afghanistan,Asia,42239854,10752971,652230
POL,Poland,Europe,41026067,32482943,312679
CAN,Canada,North America,38781291,21434577,9984670
MAR,Morocco,Africa,37840044,15274351,446550
SAU,Saudi Arabia,Asia,36947025,6106191,2149690
UKR,Ukraine,Europe,36744634,47279086,603500
AGO,Angola,Africa,36684202,6029700,1246700
UZB,Uzbekistan,Asia,35163944,12011361,447400
YEM,Yemen,Asia,34449825,6843607,527968
PER,Peru,South America,34352719,13562371,1285216
MYS,Malaysia,Asia,34308525,10306508,330803
GHA,Ghana,Africa,34121985,8861895,238533
MOZ,Mozambique,Africa,33897354,8411676,801590
NPL,Nepal,Asia,30896590,12501285,147181
MDG,Madagascar,Africa,30325732,6639751,587041
CIV,Ivory Coast,Africa,28873034,5477086,322463
VEN,Venezuela,South America,28838499,11355475,916445
CMR,Cameroon,Africa,28647293,6452787,475442
NER,Niger,Africa,27202843,4669708,1267000
AUS,Australia,Oceania,26439111,12595034,7692024
PRK,North Korea,Asia,26160821,14996879,120538
TWN,Taiwan,Asia,23923276,14957870,36193
MLI,Mali,Africa,23293698,6153587,1240192
BFA,Burkina Faso,Africa,23251485,5611666,272967
SYR,Syria,Asia,23227014,6319199,185180
LKA,Sri Lanka,Asia,21893579,12388769,65610
MWI,Malawi,Africa,20931751,4625141,118484
ZMB,Zambia,Africa,20569737,4281671,752612
ROU,Romania,Europe,19892812,19922618,238391
CHL,Chile,South America,19629590,9820481,756102
KAZ,Kazakhstan,Asia,19606633,12265305,2724900
TCD,Chad,Africa,18278568,3667394,1284000
ECU,Ecuador,South America,18190484,6172215,276841
SOM,Somalia,Africa,18143378,3720977,637657
GTM,Guatemala,North America,18092026,5453208,108889
SEN,Senegal,Africa,17763163,4367744,196722
NLD,Netherlands,Europe,17618299,13037686,41850
KHM,Cambodia,Asia,16944826,6708525,181035
ZWE,Zimbabwe,Africa,16665409,5202918,390757
GIN,Guinea,Africa,14190612,4222374,245857
RWA,Rwanda,Africa,14094683,3896367,26338
BEN,Benin,Africa,13712828,3023443,112622
BDI,Burundi,Africa,13238559,3497834,27834
TUN,Tunisia,Africa,12458223,5047404,163610
BOL,Bolivia,South America,12388571,4585693,1098581
HTI,Haiti,North America,11724763,4680812,27750
BEL,Belgium,Europe,11686140,9629376,30528
JOR,Jordan,Asia,11337052,1557374,89342
DOM,Dominican Republic,North America,11332972,4475871,48671
CUB,Cuba,North America,11194449,8869636,109884
SSD,South Sudan,Africa,11088796,3342410,619745
